Subject,Predicate,Object
Brownian motion,facet of,special relativity
modern physics,opposite of,mainstream
gravitation,studied by,field theory
general theory of relativity,studies,universe
Scranton,located in the administrative territorial entity,Pennsylvania
Clarence Thomas,significant event,Supreme Court confirmation hearings
Donald Trump,candidacy in election,2020 presidential election
Build Back Better Act,replaces,American Jobs Plan
Ireland,diplomatic relation,India
chastity,instance of,vows
Nobel Peace Prize,winner,Mother Teresa
abortion,different from,contraception
fatwā,practiced by,clerics
computer programmer,field of this occupation,computer
William King,work period (start),1835
Charles Babbage,field of work,computer
Black Widow,present in work,Black Panther
Avengers: Secret Wars,part of the series,The Multiverse Saga
Black Panther,characters,Black Widow
Casablanca,cast member,Humphrey Bogart
Van Nuys Airport,place served by transport hub,Van Nuys' Los Angeles
greatest films in history,is a list of,iconic
Casablanca,narrative location,Hollywood
The Godfather,screenwriter,Mario Puzo
New York City,twinned administrative body,Sicily
Vito,performer,Marlon Brando
Golden Bear,conferred by,Berlin International Film Festival
India,contains administrative territorial entity,Delhi
Axis powers,opposite of,Allied war effort
Battle of Actium,participant,Cleopatra
streptococci,parent taxon,staphylococci
penicillin allergies,drug used for treatment,penicillin
β-lactam,subject has role,antibiotic
String theory,main subject,strong nuclear force
Eagle,located in or next to body of water,Sea of Tranquility
Communist Party of the Soviet Union,dissolved' abolished or demolished date,August 1991
Alexander the Great,time period,Macedonians
Western Roman Empire,shares border with,Eastern Roman Empire
Code of France,legislated by,Napoleonic
ruler,different from,king
Kaminaljuyu,located on terrain feature,Petén Basin
Maya,writing system,Hieroglyphic writing
jazz,location of formation,New Orleans
his wife,family,his family
Op. 5,number of episodes,5
Michael,performer,Al Pacino
Helene von Breuning,instrument,piano
Malus sieversii,endemic to,Central Asia
Apple,inception,April 1' 1976
New Seven Wonders,published in,USA Today
Lionel Andrés Messi,position played on team / speciality,forward
Lionel Andrés Messi,member of sports team,Argentina national team
2008–09,season of club or team,Barcelona
2011–12 season,sports season of league or competition,La Liga
El Clásico,participating team,Real Madrid
